EmployeeNumber,Age,AgeBand,Gender,MaritalStatus,Department,JobRole,JobLevel,SeniorityBand,MonthlyIncome,MonthlyIncomeK,AnnualIncome,SalaryBand,Attrition,AttritionBinary,AttritionRiskScore,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,PromotionRecency,YearsWithCurrManager,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,JobSatisfaction,JobSatisfactionLabel,EnvironmentSatisfaction,EnvironmentSatisfactionLabel,WorkLifeBalance,WorkLifeBalanceLabel,PerformanceRating,PerformanceLabel,OverTime,OvertimeBinary,BusinessTravel,DistanceFromHome,DistanceBand,Education,EducationField,StockOptionLevel,PercentSalaryHike,RelationshipSatisfaction,JobInvolvement
1,41,36-45,Female,Single,Sales,Sales Executive,2,Mid-Level,5993,5.99,71916,Medium (3-6K),Yes,1,1.653,6,6-10 yrs,4,0,Just Promoted,5,8,8,0,4,Very High,2,Medium,1,Bad,3,Excellent,Yes,1,Travel_Rarely,1,Near (1-5),2,Life Sciences,0,11,1,3
2,49,46-55,Male,Married,Research & Development,Research Scientist,2,Mid-Level,5130,5.13,61560,Medium (3-6K),No,0,1.484,10,6-10 yrs,7,1,1-2 yrs,7,1,10,3,2,Medium,3,High,3,Better,4,Outstanding,No,0,Travel_Frequently,8,Medium (6-15),1,Life Sciences,1,23,4,2
4,37,36-45,Male,Single,Research & Development,Laboratory Technician,1,Junior,2090,2.09,25080,Low (<3K),Yes,1,1.207,0,0-2 yrs,0,0,Just Promoted,0,6,7,3,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,2,Near (1-5),2,Other,0,15,2,2
5,33,26-35,Female,Married,Research & Development,Research Scientist,1,Junior,2909,2.91,34908,Low (<3K),No,0,1.23,8,6-10 yrs,7,3,3-5 yrs,0,1,8,3,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Frequently,3,Near (1-5),4,Life Sciences,0,11,3,3
7,27,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,3468,3.47,41616,Medium (3-6K),No,0,1.87,2,0-2 yrs,2,2,1-2 yrs,2,9,6,3,2,Medium,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),1,Medical,1,12,4,3
8,32,26-35,Male,Single,Research & Development,Laboratory Technician,1,Junior,3068,3.07,36816,Medium (3-6K),No,0,0.927,7,6-10 yrs,7,3,3-5 yrs,6,0,8,2,4,Very High,4,Very High,2,Good,3,Excellent,No,0,Travel_Frequently,2,Near (1-5),2,Life Sciences,0,13,3,3
10,59,55+,Female,Married,Research & Development,Laboratory Technician,1,Junior,2670,2.67,32040,Low (<3K),No,0,2.06,1,0-2 yrs,0,0,Just Promoted,0,4,12,3,1,Low,3,High,2,Good,4,Outstanding,Yes,1,Travel_Rarely,3,Near (1-5),3,Medical,3,20,1,4
11,30,26-35,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,2693,2.69,32316,Low (<3K),No,0,1.083,1,0-2 yrs,0,0,Just Promoted,0,1,1,2,3,High,4,Very High,3,Better,4,Outstanding,No,0,Travel_Rarely,24,Far (16+),1,Life Sciences,1,22,2,3
12,38,36-45,Male,Single,Research & Development,Manufacturing Director,3,Senior,9526,9.53,114312,High (6-10K),No,0,1.086,9,6-10 yrs,7,1,1-2 yrs,8,0,10,2,3,High,4,Very High,3,Better,4,Outstanding,No,0,Travel_Frequently,23,Far (16+),3,Life Sciences,0,21,2,2
13,36,36-45,Male,Married,Research & Development,Healthcare Representative,2,Mid-Level,5237,5.24,62844,Medium (3-6K),No,0,1.49,7,6-10 yrs,7,7,5+ yrs,7,6,17,3,3,High,3,High,2,Good,3,Excellent,No,0,Travel_Rarely,27,Far (16+),3,Medical,2,13,2,3
14,35,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,2426,2.43,29112,Low (<3K),No,0,1.905,5,3-5 yrs,4,0,Just Promoted,3,0,6,5,2,Medium,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,16,Far (16+),3,Medical,1,13,3,4
15,29,26-35,Female,Single,Research & Development,Laboratory Technician,2,Mid-Level,4193,4.19,50316,Medium (3-6K),No,0,1.252,9,6-10 yrs,5,0,Just Promoted,8,0,10,3,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,15,Medium (6-15),2,Life Sciences,0,12,4,2
16,31,26-35,Male,Divorced,Research & Development,Research Scientist,1,Junior,2911,2.91,34932,Low (<3K),No,0,1.866,5,3-5 yrs,2,4,3-5 yrs,3,1,5,1,3,High,1,Low,2,Good,3,Excellent,No,0,Travel_Rarely,26,Far (16+),1,Life Sciences,1,17,4,3
18,34,26-35,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,2661,2.66,31932,Low (<3K),No,0,1.222,2,0-2 yrs,2,1,1-2 yrs,2,0,3,2,4,Very High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,19,Far (16+),2,Medical,1,11,3,3
19,28,26-35,Male,Single,Research & Development,Laboratory Technician,1,Junior,2028,2.03,24336,Low (<3K),Yes,1,1.483,4,3-5 yrs,2,0,Just Promoted,3,5,6,4,3,High,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,24,Far (16+),3,Life Sciences,0,14,2,2
